epoch,accuracy,loss,val_accuracy,val_loss
0,0.35981178,1.3263302115631208,0.455331414937973,1.2679106120760915
1,0.6515361,0.9796793848861791,0.6541786789894104,0.9286372850539018
2,0.7951841,0.579240809838395,0.7204610705375671,0.7892901653515159
3,0.8524772,0.4083200598353664,0.7002881765365601,0.7504539965552625
4,0.8862441,0.3197206887567337,0.6974063515663147,0.8139920018248324
5,0.9094935,0.26392111324089373,0.6829971075057983,0.8400631244656676
6,0.9302519,0.21213298340665973,0.6714697480201721,0.9177150681657819
7,0.9443676,0.17819356699333672,0.6858789920806885,1.0069290299924032
8,0.953778,0.1517237788862777,0.6743515729904175,1.079444005784796
9,0.9601439,0.13299308515365454,0.6685879230499268,1.1218082616239873
10,0.9651259,0.1196024052668832,0.6628242135047913,1.1620249909695013
11,0.9667866,0.11026973134525886,0.6685879230499268,1.1718997242471327
12,0.970108,0.10155436891310769,0.6599423885345459,1.2888075054894264
13,0.9687241,0.09628688135727469,0.6599423885345459,1.3281377268799444
14,0.97093827,0.08846793808981285,0.6685879230499268,1.3435612552791232
15,0.9714918,0.08483600264238315,0.651296854019165,1.367865437045908
16,0.9742596,0.08071118640233169,0.6657060384750366,1.3970906731031127
17,0.9770274,0.07286236271645731,0.6628242135047913,1.441925854092029
18,0.9753667,0.07303336140726235,0.6714697480201721,1.4478347335837416
19,0.97592026,0.0652614380641555,0.6772334575653076,1.4640807311885295
20,0.9778577,0.06721139742732213,0.6772334575653076,1.5425026516405924
21,0.9756435,0.0655267405816798,0.6685879230499268,1.5313147309877686
22,0.97647387,0.06581745866491232,0.6628242135047913,1.5955212511315469
23,0.98034877,0.060215082864021614,0.6541786789894104,1.6274900402047106
24,0.97647387,0.06071243839920466,0.639769434928894,1.724118431981771
